,mouse,group,sesType,sex,pokeRate,inactiveRate,entryRate,P/E ratio,efficiency,rewardRate
0,489-1,naive,RI30,M,6.256306126589694,0.18149936435373662,1.9076615816410014,2.785102239368372,0.15781603432007513,0.6405146973937924
1,489-1,naive,RI60,M,8.645757090396787,0.1937739350555335,2.98366256289005,2.775873705978839,0.13667214744455383,0.7653385103126823
2,489-2,naive,RI30,M,5.827193406136387,0.05304973841722458,6.907152921402333,0.8109388744843993,0.17629983723250695,0.939837497456533
3,489-2,naive,RI60,M,9.15849053857722,0.03822855365891794,4.726112898302995,2.259071252881926,0.10825072188596542,0.7663583079499499
4,489-3,naive,RI30,M,4.145760227503273,0.3881777839969656,4.484375307608832,0.7166914407272342,0.3313675947114162,0.7569986218265177
5,489-3,naive,RI60,M,5.647167519290981,0.6218849161172976,3.4456134486076144,1.5451005331653151,0.17457221682525925,0.7076365043412111
6,489-4,naive,RI30,M,1.6911968897528464,0.20827547903360177,2.241044154401555,0.7308059283967483,0.3526416001183082,0.4457095251319078
7,489-4,naive,RI60,M,4.675275755324068,0.3394164708771886,2.0881108966047246,2.058285930502075,0.2565954581112731,0.5836205005132916
8,491-1,naive,RI30,F,3.239881082297516,0.03332407664537629,19.29708950046181,0.25618661878165366,0.30232167076533273,0.5626132874116749
9,491-1,naive,RI60,F,7.978058603345912,0.6562127373193324,4.857836261294064,1.5680271421922922,0.15580792886166103,0.8337171271510763
10,491-2,naive,RI30,F,2.877613090745902,0.5836151998510021,5.227484003300784,0.6609516666411556,0.2601970926162749,0.7533255707579518
11,491-2,naive,RI60,F,4.523618016359712,0.22945483406491118,3.5703551966927107,1.2856440033814167,0.1778743147607845,0.6880725642099171
12,493-1,naive,RI30,F,3.3523833869098763,0.10050702937334807,4.840117992564093,0.6652569354716436,0.2612569410220173,0.7764644375947107
13,493-1,naive,RI60,F,9.137304092859639,0.27505802629542525,4.941718341261082,1.7702041016908965,0.11479878782910669,0.7518850073489759
14,493-2,naive,RI30,F,1.7495140238822549,0.09997222993612885,5.0610941405165235,0.33349664067731444,0.3608455001497454,0.49153013051930017
15,493-2,naive,RI60,F,5.44840561880492,0.06642768633044689,5.230136391453763,1.072095273183101,0.17295420333196052,0.7750854136809807
16,498-1,stress,RI30,M,4.418188143827368,0.046709617603065835,5.362011775441147,0.8261295121760238,0.18689582834319676,0.8367910455485633
17,498-1,stress,RI60,M,13.189352588644953,0.05123760665705177,5.074988774929637,2.532837879289145,0.07149399861280535,0.8629593595085175
18,498-2,stress,RI30,M,4.286879438516106,0.17636543440512514,7.405817548481732,0.6683594318580964,0.20812917883445195,0.8918075518768963
19,498-2,stress,RI60,M,8.203677082847564,0.15472379791190674,5.243979101262478,1.5690620810157971,0.11529619556778915,0.8332363336823181
20,498-3,stress,RI30,M,8.41593984474683,0.13884735813685636,5.528013107966974,1.2398445423718982,0.20251619120856076,0.7880362501941124
21,498-3,stress,RI60,M,10.963749039085227,0.11196808304588197,4.889542315402026,2.147242643630071,0.09647568663318362,0.8202518517704879
22,499-1,stress,RI30,M,9.683279532467726,0.12075435724246267,8.252372952932316,1.119578350776123,0.12368269776611644,1.112817098617633
23,499-1,stress,RI60,M,10.374833509141132,0.6047104594619153,6.132004744283203,1.6832167324511247,0.0898509839448713,0.8636535680559282
24,499-2,stress,RI30,M,3.5312672122323603,0.04856901193909537,3.7170683008662797,0.9332532542695016,0.22737200694517767,0.7247848375112581
25,499-2,stress,RI60,M,15.818764608891103,0.08253765614528155,5.17527832743973,3.0387068958339167,0.07035764541451542,0.879282144392962
26,499-3,stress,RI30,M,3.577255786846769,0.10325348617922533,5.073291326000755,0.6865372981352386,0.2226306959322732,0.7574833509142961
27,499-3,stress,RI60,M,10.708792662589834,0.5801569177314051,6.02549619710257,1.764433831743867,0.09114953035474227,0.9305254624990154
28,500-1,stress,RI30,F,2.6242710358233823,0.0708136628714246,1.8911413496251042,1.4247418654453452,0.2609263927190574,0.5706748125520689
29,500-1,stress,RI60,F,10.009069265650002,0.09374337675034261,2.365279463764626,4.316198799679551,0.08212481819816446,0.7947309507797518
30,500-2,stress,RI30,F,2.7908914190502636,0.062482643710080533,4.969452929741738,0.5872762428962383,0.27360788340245773,0.7247986670369342
31,500-2,stress,RI60,F,12.958611842415392,0.14646518291132038,5.784605918610924,2.3402844677777015,0.07441301493133343,0.8862037643610287
32,500-3,stress,RI30,F,3.63568698436673,0.11562118270223098,3.5283752714814507,0.9934110379777585,0.25998467892414756,0.7313298497937621
33,500-3,stress,RI60,F,7.696408778307439,0.07551833129357584,3.078355087216577,2.512938095238118,0.11113750416545908,0.8040263383403753
34,501-1,stress,RI30,F,5.695884138605894,0.1640674831447507,3.9658378719551317,1.4216455466455467,0.12914527333131984,0.7235752519427432
35,501-1,stress,RI60,F,8.252446248040506,0.4378866378413356,4.0976108056709535,2.05686054972458,0.10943267872583282,0.8285580360260532
36,501-2,stress,RI30,F,8.419718156695778,0.18826190819495014,7.335264659758917,1.0793982424052715,0.1542942416304832,1.072168661876855
37,501-2,stress,RI60,F,18.924581499047424,0.1876261965088745,6.483594167967854,2.908053732277976,0.056284405034860464,0.9178150608821917
38,578-1,stress,RI30,F,2.828381005276312,0.008331019161344072,5.327686753679533,0.5702871016428228,0.22316501902189528,0.6039988891974452
39,578-1,stress,RI60,F,14.247153568453207,0.03443487920022216,4.328797556234379,3.7841886722660503,0.060942042736402934,0.682032768675368
40,578-2,stress,RI30,F,3.428214384893085,0.09580672035545681,3.628158844765343,1.0354006111139713,0.16319501631457567,0.5498472646487087
41,578-2,stress,RI60,F,14.303763807068597,0.07054543290939559,5.197292979381461,3.018808488908644,0.06032152140359987,0.7437347210567502
42,578.1-1,naive,RI30,F,1.7995001388503193,0.19577895029158565,2.7534018328242156,0.9009330723988972,0.27795010049474334,0.49986114968064427
43,578.1-1,naive,RI60,F,1.95084698694807,0.1638433768397667,2.6242710358233823,0.7994891670728664,0.2705365205019834,0.4804221049708414
44,578.1-2,naive,RI30,F,4.632046653707303,0.09997222993612885,5.4359900027770065,0.8585377332262824,0.18217475884976936,0.6956400999722299
45,578.1-2,naive,RI60,F,8.505926829166988,0.37441280204829275,4.54531866722339,2.0882857023792702,0.11600165285000891,0.7277783437069014
46,579-1,stress,RI30,F,4.569564009997223,0.09580672035545681,4.277978339350181,1.0796621349395967,0.16647521671278878,0.7414607053596223
47,579-1,stress,RI60,F,15.01918062311616,0.1330988154650186,4.765520407727373,3.5262765716783018,0.05793496534894317,0.7845723626142
48,579-2,naive,RI30,F,3.56151069147459,0.13329630658150515,3.0199944459872254,1.1413021035876798,0.18168892637074824,0.5790058317134129
49,579-2,naive,RI60,F,6.8415243715868606,0.11797062292245665,3.0021202308684374,2.1302730636615284,0.14044123875049105,0.6466987991926494
50,579.1-1,stress,RI30,F,8.462266841131708,0.13897734170387155,9.545420705267787,0.9560381382381715,0.155256934611398,1.2641093215217012
51,579.1-1,stress,RI60,F,31.756558383881046,0.13820804386955218,6.5534077423724915,4.882313956408764,0.03575895062815791,0.9374665055668009
52,579.1-2,naive,RI30,F,2.811718966953624,0.10413773951680089,4.161344071091364,0.8338553237672512,0.2343117907991222,0.6331574562621494
53,579.1-2,naive,RI60,F,5.5295976812652645,0.15355145639730353,7.061528110374311,0.9648352683061165,0.15255025663093608,0.6748194406526373
54,580-1,stress,RI30,M,4.2954673512606725,0.08859716614746886,3.454675116430426,2.0749818940047584,0.18122912180421039,0.6244524560238716
55,580-1,stress,RI60,M,14.334842874168968,0.048591223081607175,4.5664039723544185,3.0463850701847144,0.07458938268000047,0.831763466335143
56,580.1-1,naive,RI30,M,3.707303526798112,0.21660649819494585,3.019994445987226,1.253148434000786,0.18389222381287612,0.6039988891974452
57,580.1-1,naive,RI60,M,12.674156957533127,0.12723509995470145,3.786199996212078,3.3686313876218215,0.07548763357122083,0.8340129850281386
58,644-0,naive,RI30,M,2.4951402388225494,0.27075812274368233,2.7450708136628714,0.9780043198000665,0.22398509685729143,0.41655095806720355
59,644-0,naive,RI60,M,9.066154978548466,0.48640089093487304,4.543670165502568,2.084775266458165,0.09977356303425473,0.7482382527806485
60,644-L,stress,RI30,M,1.8453207442377118,0.15828936406553734,4.394612607608997,0.4041801482816578,0.35352494914589616,0.5456817550680366
61,644-L,stress,RI60,M,5.130519300194391,0.26520410996945293,5.484587614551514,1.0042716328951706,0.14712789797553497,0.6886975840044433
62,644-R,stress,RI30,M,4.765497966947077,0.11241667422460724,4.598273902740096,1.0806661998247369,0.1621087523420687,0.7076157841788688
63,644-R,stress,RI60,M,13.887030327110006,0.274696279784317,6.766993455053735,2.0285798018213255,0.07217352222296013,0.862005133602603
64,645-0,naive,RI30,M,3.659421568117528,0.33412730725973805,4.824258363542952,0.6557589584138257,0.250170791805375,0.6459879780656704
65,645-0,naive,RI60,M,7.485871393639144,0.13656980227494894,5.5617036956765595,1.3314347514905664,0.12589044728504345,0.770516019415169
66,645-L,naive,RI30,M,14.642768045327529,0.1949212624611643,14.977141058050405,0.9817402174173618,0.11429459035751674,1.6577515668093712
67,645-L,naive,RI60,M,27.188082076482477,0.6970880201994217,13.22677432399978,2.300582254538797,0.03748188694051512,1.0016372439201557
68,645-R,naive,RI30,M,13.049642674443248,0.30872059433905863,9.570074274944288,1.3275840481722836,0.10705865225628025,1.232716151211448
69,645-R,naive,RI60,M,20.613257158901877,0.3888084548878696,5.974521204484307,3.469692157495807,0.047927815706421795,0.9170419480841271
70,646-0,stress,RI30,M,7.439195827439204,0.4218707823052773,7.824629783397871,0.9754248931343402,0.15063366553594165,1.0042377157585771
71,646-0,stress,RI60,M,14.730580717977622,0.2921673542050416,5.06980954830898,3.048377965261746,0.06819377018994914,0.9331478147712265
72,646-L,stress,RI30,M,5.301709348452808,0.255560455482913,7.30479958766661,0.7432818064449366,0.23400317995071504,1.1146017900328933
73,646-L,stress,RI60,M,11.103700844675947,0.17942361508244994,6.064203240501708,1.7971601568993854,0.08953144227515002,0.8896769584401711
74,647-0,naive,RI30,M,2.5186038113590796,0.26752872839660086,8.776564222815548,0.7763622130385424,0.2757618152369512,0.668800280858052
75,647-0,naive,RI60,M,8.788178660840803,0.26718382279736275,9.071462615612793,1.0357401196889817,0.12481019445584818,0.8523090939440847
76,647-L,stress,RI30,M,5.70572978219807,0.26181677576086454,5.726284722876014,1.0417759682179812,0.15888347792825153,0.9056244549952037
77,647-L,stress,RI60,M,12.935002769465807,0.2295887329259673,6.109411693659362,2.209415816840791,0.07712698089016716,0.9099743009693796
78,648-0,stress,RI30,F,3.685822637798242,0.5452067389010358,7.043010284842468,0.6237997662364687,0.2762150497999555,1.007594240294153
79,648-0,stress,RI60,F,6.3073382377083265,0.5031781234334961,6.63172184816491,1.0933317123056787,0.17960275849539803,0.8225185451208794
80,648-L,stress,RI30,F,3.6169388298387823,0.513859876975018,8.064629780010709,0.5406277740824141,0.21755234020680048,0.7642343369867259
81,648-L,stress,RI60,F,8.146919626145506,2.158602333257547,4.359285376595028,2.034672168059966,0.10923937294654489,0.8144473183840176
82,648-R,stress,RI30,F,2.3691723455804303,0.24459448497941635,8.064980420010935,0.3395327444751904,0.3033280922431866,0.7025296459694467
83,648-R,stress,RI60,F,9.02480449562894,1.4720220342091852,4.881870384929964,1.9357038270171503,0.11280746763893595,0.8903863186529902
84,649-0,naive,RI30,F,4.99061805941915,0.134683195510484,3.7988115930175406,1.3840889670738077,0.19357319294867828,0.8880374340833153
85,649-0,naive,RI60,F,8.358829043430715,0.29809908052511985,4.579070728318178,2.0149698031635137,0.12200173787350675,0.9120986438413898
86,649-L,naive,RI30,F,2.7957572196386176,0.12003722828203192,6.138318838140772,0.4526910782978265,0.26012362498283265,0.6422131876313268
87,649-L,naive,RI60,F,7.94086488626245,0.23439652209377063,4.701824928424412,1.6744935065303868,0.11289486623745318,0.7792472673872555
88,649-R,naive,RI30,F,3.032426097693776,0.19919597578603915,6.653761998822587,0.4661423877226276,0.27740111314311766,0.6979615366187277
89,649-R,naive,RI60,F,5.036672366739582,0.10859745896472531,3.7919926260145256,1.35969417367827,0.17907199120517267,0.7466023975560666
90,722-0,naive,RI30,F,13.706909588835995,0.3905392791487167,11.528393531722642,1.2243026871545541,0.1173468498562568,1.4129299018485098
91,722-0,naive,RI60,F,13.490485484413844,0.20647014644961809,9.247160357929308,1.8469354522918748,0.07018941619205306,0.8510733604947013
92,722-L,naive,RI30,F,4.112733106042782,0.2600388400121002,5.522646362275131,0.8053612557343726,0.2666775435017481,0.9866405358990853
93,722-L,naive,RI60,F,11.415727448921592,0.18656811418104022,8.664035149152058,1.368057688793911,0.091026000839932,0.8218433500125498
94,722-RL,naive,RI30,F,6.027884826695982,0.13126628224189274,6.15606137498575,1.030608083323381,0.17068136686598073,0.9929761188892672
95,722-RL,naive,RI60,F,9.718398656094136,0.22950854654132827,7.096573322937915,1.4018853402041318,0.11590920986494388,0.8622878280095866
96,722-T,naive,RI60,F,7.00682258169666,0.8843562481753067,4.183685327906258,1.6747967479674797,0.10922330097087378,0.7653082916901692
97,723-0,stress,RI30,M,2.815360235635552,0.4577484272311215,4.980556834094857,0.5385885014256844,0.26660454756401997,0.6652690068259611
98,723-0,stress,RI60,M,6.6268663176382,0.5133848575226996,5.343667636209315,1.3382508250928284,0.11463095062151396,0.6289170086730596
99,723-L,stress,RI30,M,7.980063783295324,0.26756507101369786,9.381732771667194,0.8512578258220607,0.16771938039474674,1.1669718390295114
100,723-L,stress,RI60,M,12.430672033781889,0.5718355294327119,8.325623073604461,1.5411423704699592,0.08327476698053816,0.8345728250419396
101,723-R,stress,RI30,M,17.781538188967318,0.13231681634912149,10.510790715496592,1.783964683574075,0.09579968313284731,1.6679764396030572
102,723-R,stress,RI60,M,12.58233810566027,0.4786179281829726,17.777711844333933,0.7485670664037418,0.08804880024562405,0.9276849586967861
103,723-RL,stress,RI30,M,6.445160869943965,0.20850763807656528,11.855911482547258,0.629142271123458,0.14669933236327998,0.9007057284746931
104,723-RL,stress,RI60,M,6.832930531055994,0.6386629948520726,6.339476505668594,1.1538834530278343,0.14496846074729802,0.7380097906118013
105,725-0,stress,RI30,M,3.5610988933121033,0.18963654364031304,7.036827607108347,0.5195403379269702,0.2304527995176944,0.7675123400410088
106,725-0,stress,RI60,M,6.063700254202893,0.22045158396172004,5.692008630081388,3.0423262034752727,0.11821149899478461,0.6049601606391387
107,725-L,stress,RI30,F,1.6037211885587337,0.24993057484032213,4.03221327409053,0.400538022872119,0.33578615284489366,0.5415162454873647
108,725-L,stress,RI60,F,5.101368213091661,0.24952140905162584,6.142612411598232,0.9619955805357628,0.1495490924722126,0.6417951352730576
109,725-R,stress,RI30,F,2.239377950569286,0.06998056095529019,2.0527631213551794,6.540253835949822,0.25615252886567896,0.44321021938350463
110,725-R,stress,RI60,F,3.772563176895307,0.07081366287142461,3.1324632046653704,1.2914612591253152,0.20387514413213703,0.5748403221327409
111,725-RL,stress,RI30,F,2.0202721466259375,0.22910302693696194,6.589836156623161,0.3288158549298453,0.3232798268628138,0.6206609275201334
112,725-RL,stress,RI60,F,2.5838976352722534,0.13073291607032234,4.221904171918057,0.6020114705225574,0.24020952390816716,0.521649969025698
113,728-0,naive,RI30,M,5.025893710519857,0.2291023337366282,4.5795534648021174,1.0525566826597372,0.21480582923765873,0.9890380051396899
114,728-0,naive,RI60,M,4.098861427381283,0.3665648430991391,4.073868369897251,0.9595927626297366,0.20278467528318772,0.6031657872813108
115,728-L,naive,RI30,M,11.971434736199555,0.16480538905272163,6.380267348986768,1.7614002622576455,0.12784150921055995,1.2599751965146504
116,728-L,naive,RI60,M,7.660596627040458,0.38493280736899826,6.314749819434806,1.2430841376622763,0.14101033648258524,0.8174690455016539
117,728-R,naive,RI30,M,8.917868706147756,0.5707447155848941,6.054454745114943,1.391508158993077,0.15457835463787267,1.1793682645486978
118,728-R,naive,RI60,M,8.101134241646179,0.5082052238368685,10.791096908532694,0.8478422169855265,0.13070248255751818,0.8267602441028102
119,728-RL,naive,RI30,M,11.234315996895997,0.46632639002718057,9.951191524143606,1.0982510837465824,0.13823268054190657,1.3848343457832355
120,728-RL,naive,RI60,M,7.997349700897975,0.6057566761994937,6.232779374054392,1.1688747128830932,0.16972955996209174,0.6870214836942623
121,819-L,stress,RI30,M,4.577120773676031,0.15027994001367617,5.490029860750789,0.8804338478950522,0.19868841275807822,0.8924595493473624
122,819-L,stress,RI60,M,8.421346972462029,0.1628231253808534,4.845458759649404,1.8101334990996385,0.10110222324653148,0.8365574466219583
123,819-R,stress,RI30,M,3.987890830137592,0.13109400432043475,3.750469218635973,1.124089765124345,0.19369519785561765,0.757518789030295
124,819-R,stress,RI60,M,14.688634401483233,0.31314872148861433,5.973603990633421,2.3734783357257956,0.08937190494987131,0.8190581168620399
125,820-0,stress,RI30,F,1.4954179394612608,0.08747570119411274,2.953346292696473,0.5229570264244718,0.34327685591370505,0.49153013051930017
126,820-0,stress,RI60,F,3.7949820246724477,0.03113062683389185,4.19566013977452,0.9289588524139462,0.2073127766359059,0.6362714792199996
127,820-R,stress,RI30,F,1.5120799777839489,0.22493751735628992,2.5034712579838936,0.632137649944377,0.37501855780302007,0.5415162454873645
128,820-R,stress,RI60,F,3.368295131694188,0.19225428833870933,2.3506290987546197,1.3241865549725444,0.23134233648047509,0.5575374361822572
129,821-0,naive,RI30,M,2.55762288253263,0.20827547903360177,4.407109136351013,0.5790420852258069,0.29351832257714844,0.6914745903915579
130,821-0,naive,RI60,M,4.597651883592832,0.6932691848647732,2.8841058951080543,1.6840719032069618,0.16107861395137396,0.6892759408485095
131,821-L,naive,RI30,M,4.607343357692452,0.46481843827338265,5.5123583777261125,0.8568100665139179,0.19297388793652082,0.8937266011853964
132,821-L,naive,RI60,M,7.355945430696301,0.47524911362370276,6.434565824512632,1.2131504262058423,0.1168727066689408,0.771215194671448
133,821-R,naive,RI30,M,2.1827270202721465,0.06664815329075258,4.03221327409053,0.552053320086107,0.27015493432702786,0.5748403221327409
134,821-R,naive,RI60,M,6.710475391894144,0.8975842276254292,4.669682537316722,1.624745295605622,0.11845383256318982,0.6983857913077278
135,822-0,naive,RI30,F,4.659187420907264,0.1200287078064834,6.210665267892835,0.6955535916118412,0.2651209325334067,1.0698490375728453
136,822-0,naive,RI60,F,9.920091119084715,0.11280749331834207,6.5933352515105845,1.491588975921751,0.10027674556799006,0.8713485671867134
137,822-L,naive,RI30,F,4.122919834389016,0.40083919740923973,4.754255424975327,0.8532809824672803,0.2530925003030178,0.9922441793764876
138,822-L,naive,RI60,F,4.992572093184178,0.2851255563634302,4.745424273907218,1.080844505196339,0.1785699499423615,0.7681800043036887
139,822-R,naive,RI30,F,8.912292332024267,0.7460764068189002,3.9783441220159546,2.2355507232088403,0.15062409887290293,1.260071011580071
140,822-R,naive,RI60,F,9.716806812903021,1.3019792748731607,4.079771430937177,2.595742419719248,0.09246653580841041,0.8461516304262281
